Round0, ROCAUC0.630094043887, LOGLOSS0.862507613859, F1 SCORE0.453125,
Round1, ROCAUC0.579365079365, LOGLOSS0.598551644998, F1 SCORE0.515125324114,
Round2, ROCAUC0.784598214286, LOGLOSS0.587504233826, F1 SCORE0.717124488603,
Round3, ROCAUC0.570216049383, LOGLOSS0.770094981965, F1 SCORE0.426470588235,
Round4, ROCAUC0.618367346939, LOGLOSS0.586297055592, F1 SCORE0.445036642239,
Round5, ROCAUC0.730158730159, LOGLOSS0.838944843714, F1 SCORE0.278636363636,
Round6, ROCAUC0.707446808511, LOGLOSS0.648903630538, F1 SCORE0.545795795796,
Round7, ROCAUC0.451219512195, LOGLOSS0.594737925428, F1 SCORE0.459770114943,
Round8, ROCAUC0.574285714286, LOGLOSS0.607155929671, F1 SCORE0.430379746835,
Round9, ROCAUC0.644137931034, LOGLOSS1.08593710447, F1 SCORE0.373214285714,
Round10, ROCAUC0.637037037037, LOGLOSS0.60072191893, F1 SCORE0.661523625844,
Round11, ROCAUC0.627450980392, LOGLOSS0.426138172213, F1 SCORE0.463917525773,
Round12, ROCAUC0.772727272727, LOGLOSS1.00460879818, F1 SCORE0.415614773259,
Round13, ROCAUC0.652777777778, LOGLOSS0.474512122419, F1 SCORE0.47311827957,
Round14, ROCAUC0.722404371585, LOGLOSS0.48410787502, F1 SCORE0.545196850394,
Round15, ROCAUC0.626623376623, LOGLOSS0.980220156901, F1 SCORE0.498747974665,
Round16, ROCAUC0.560053981107, LOGLOSS0.533336737752, F1 SCORE0.52380952381,
Round17, ROCAUC0.702786377709, LOGLOSS0.608133848827, F1 SCORE0.563186813187,
Round18, ROCAUC0.70625, LOGLOSS0.643294638882, F1 SCORE0.574795574796,
Round19, ROCAUC0.682857142857, LOGLOSS0.879726639734, F1 SCORE0.494444444444,
Round20, ROCAUC0.626262626263, LOGLOSS0.678754056201, F1 SCORE0.512266112266,
Round21, ROCAUC0.631874298541, LOGLOSS1.10345235515, F1 SCORE0.446022727273,
Round22, ROCAUC0.632754342432, LOGLOSS0.699860978545, F1 SCORE0.44617178391,
Round23, ROCAUC0.581160639193, LOGLOSS1.20279393281, F1 SCORE0.303977272727,
Round24, ROCAUC0.706371191136, LOGLOSS0.665833385367, F1 SCORE0.51171579743,
Round25, ROCAUC0.616666666667, LOGLOSS1.46252244298, F1 SCORE0.391919191919,
Round26, ROCAUC0.619883040936, LOGLOSS0.861676762434, F1 SCORE0.327272727273,
Round27, ROCAUC0.772881355932, LOGLOSS0.481779809346, F1 SCORE0.516586151369,
Round28, ROCAUC0.708806818182, LOGLOSS0.539135384698, F1 SCORE0.426666666667,
Round29, ROCAUC0.539130434783, LOGLOSS1.12191119932, F1 SCORE0.336474501109,
Round30, ROCAUC0.698412698413, LOGLOSS0.463915050809, F1 SCORE0.547368421053,
Round31, ROCAUC0.61169837914, LOGLOSS0.705461771669, F1 SCORE0.473684210526,
Round32, ROCAUC0.690476190476, LOGLOSS0.535509703415, F1 SCORE0.490909090909,
Round33, ROCAUC0.858024691358, LOGLOSS0.450753899389, F1 SCORE0.596698113208,
Round34, ROCAUC0.775641025641, LOGLOSS0.468105102905, F1 SCORE0.440366972477,
Round35, ROCAUC0.748626373626, LOGLOSS0.550232481109, F1 SCORE0.679824561404,
Round36, ROCAUC0.712592592593, LOGLOSS0.635108835422, F1 SCORE0.691851851852,
Round37, ROCAUC0.672, LOGLOSS0.585509749889, F1 SCORE0.615384615385,
Round38, ROCAUC0.538170823885, LOGLOSS0.660199952753, F1 SCORE0.387096774194,
Round39, ROCAUC0.672619047619, LOGLOSS0.710768778582, F1 SCORE0.562647754137,
Round40, ROCAUC0.563775510204, LOGLOSS0.570794166567, F1 SCORE0.429824561404,
Round41, ROCAUC0.663218390805, LOGLOSS0.513053394752, F1 SCORE0.493055555556,
Round42, ROCAUC0.577972709552, LOGLOSS0.724187998359, F1 SCORE0.470511567286,
Round43, ROCAUC0.557291666667, LOGLOSS0.707854972983, F1 SCORE0.459964932788,
Round44, ROCAUC0.645833333333, LOGLOSS0.627831806317, F1 SCORE0.463579898363,
Round45, ROCAUC0.616071428571, LOGLOSS0.647293155586, F1 SCORE0.598214285714,
Round46, ROCAUC0.755555555556, LOGLOSS1.04781178184, F1 SCORE0.347222222222,
TOTAL All round, ROCAUC[0.63009404 0.57936508 0.78459821 0.57021605 0.61836735 0.73015873
 0.70744681 0.45121951 0.57428571 0.64413793 0.63703704 0.62745098
 0.77272727 0.65277778 0.72240437 0.62662338 0.56005398 0.70278638
 0.70625    0.68285714 0.62626263 0.6318743  0.63275434 0.58116064
 0.70637119 0.61666667 0.61988304 0.77288136 0.70880682 0.53913043
 0.6984127  0.61169838 0.69047619 0.85802469 0.77564103 0.74862637
 0.71259259 0.672      0.53817082 0.67261905 0.56377551 0.66321839
 0.57797271 0.55729167 0.64583333 0.61607143 0.75555556], LOGLOSS[0.86250761 0.59855164 0.58750423 0.77009498 0.58629706 0.83894484
 0.64890363 0.59473793 0.60715593 1.0859371  0.60072192 0.42613817
 1.0046088  0.47451212 0.48410788 0.98022016 0.53333674 0.60813385
 0.64329464 0.87972664 0.67875406 1.10345236 0.69986098 1.20279393
 0.66583339 1.46252244 0.86167676 0.48177981 0.53913538 1.1219112
 0.46391505 0.70546177 0.5355097  0.4507539  0.4681051  0.55023248
 0.63510884 0.58550975 0.66019995 0.71076878 0.57079417 0.51305339
 0.724188   0.70785497 0.62783181 0.64729316 1.04781178], F1 SCORE[0.453125   0.51512532 0.71712449 0.42647059 0.44503664 0.27863636
 0.5457958  0.45977011 0.43037975 0.37321429 0.66152363 0.46391753
 0.41561477 0.47311828 0.54519685 0.49874797 0.52380952 0.56318681
 0.57479557 0.49444444 0.51226611 0.44602273 0.44617178 0.30397727
 0.5117158  0.39191919 0.32727273 0.51658615 0.42666667 0.3364745
 0.54736842 0.47368421 0.49090909 0.59669811 0.44036697 0.67982456
 0.69185185 0.61538462 0.38709677 0.56264775 0.42982456 0.49305556
 0.47051157 0.45996493 0.4635799  0.59821429 0.34722222],
